"card_id","date","sport","match","competition","governing_body","rulebook_or_playing_conditions","settlement_convention","market_group","rank","option","stated_probability_bucket","stated_probability","frequency_count_base","projection_band","line_or_threshold","result","win_loss_push","top_pick_loss","bottom_pick_win","top_half_sweep_exemption","penalty_applied","ruleset_error","availability_or_eligibility_error","settlement_convention_error","source_status_error","projection_error","rank_slot_calibration_error","settlement_source","phase_source","notes","form_delta_verdict","form_anchor_window","press_signal_class","press_signal_quote_logged","press_signal_direction_hypothesis","press_signal_outcome","officials_named","officials_source_timestamp","officials_impact_note","source_confidence_score","source_disagreement_note","similar_condition_form","role_replacement_bench_verdict","style_fit_note","volatility_stability_note","prediction_triggers"
"AFL-LIVE-20260710-COLL-NM-U1815-HT-SETTLED","2026-07-11","AFL live","Collingwood vs North Melbourne","AFL Round 18","AFL","2026 AFL Laws / premiership season","Full game regulation","Live Under 181.5 halftime","1","Under 181.5 at halftime 47-42","50-59","0.58","Halftime 89; second half allowance 92","174-182","181.5","Final total 174; second half 85","W","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","ESPN AFL summary API final checked 2026-07-11 AEST","Quarter totals 50,39,42,43","Halftime under won; symmetric-half arithmetic correctly identified cushion.","LIVE stable pace","Exact halftime arithmetic","NONE","FALSE","Under","confirmed","SOURCE UNAVAILABLE","Not opened","No effect","5","No conflict","First half 89 versus second half 85","No new availability input","Q2 slowdown held through second half","Moderate edge confirmed","Second half 93+ would lose"
"CRICKET-20260710-ENG-IND4","2026-07-10","Cricket/T20I","England vs India","India tour of England 2026, 4th T20I","ICC/ECB","2026 men's T20I playing conditions","India first innings 20 overs; mandatory powerplay 0.1-6.0; DLS/reduced-over house rules apply","India innings and powerplay totals","1","India 1st innings Under 197.5","50-59","0.58","Current series batting-first 189 and 190 plus England pace matchup","PP 52-64; innings 180-197","197.5","India 158/7; powerplay 44/2; England 159/1","W","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","ESPNcricinfo scorecard and ESPN summary API checked 2026-07-10 AEST","ESPN summary API mandatory powerplay note","Top full-innings under won; projection band missed low because early wickets and only Iyer sustained scoring.","DECLINING India batting vs England","Current series plus confirmed XI","NONE","FALSE","India under","confirmed","Mike Burns; Russell Warren; Graham Lloyd; Richie Richardson","ESPN summary API checked 2026-07-10 AEST","No quantified officials effect","5","None","Current series England short-ball/slower-ball success","India batting support below expectation","Two-paced surface plus England plan supported under","Volatile T20 innings; under mechanism stable after early wickets","65+ PP plus wickets in hand would have threatened under"
"CRICKET-20260710-ENG-IND4","2026-07-10","Cricket/T20I","England vs India","India tour of England 2026, 4th T20I","ICC/ECB","2026 men's T20I playing conditions","India first innings 20 overs; mandatory powerplay 0.1-6.0; DLS/reduced-over house rules apply","India innings and powerplay totals","2","India powerplay Under 64.5","50-59","0.55","Current series PP plus Archer/Tongue new-ball plan","PP 52-64; innings 180-197","64.5","India powerplay 44/2","W","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","ESPNcricinfo scorecard and ESPN summary API checked 2026-07-10 AEST","ESPN summary API: mandatory PP 44/2","Powerplay under won by 20.5; two wickets and short-ball discomfort prevented boundary acceleration.","DECLINING India top order","Current series powerplays","NONE","FALSE","India PP under","confirmed","Mike Burns; Russell Warren; Graham Lloyd; Richie Richardson","ESPN summary API checked 2026-07-10 AEST","No quantified officials effect","5","None","India had made 65 in prior batting-first PP but England adapted","Top-order aggression produced wickets rather than ceiling","New-ball bounce and pace fit under","PP volatility acknowledged","Over needs near-perfect Abhishek/Sooryavanshi start"
"CRICKET-20260710-ENG-IND4","2026-07-10","Cricket/T20I","England vs India","India tour of England 2026, 4th T20I","ICC/ECB","2026 men's T20I playing conditions","India first innings 20 overs; mandatory powerplay 0.1-6.0; DLS/reduced-over house rules apply","India innings and powerplay totals","3","India powerplay Over 64.5","40-49","0.45","Current series PP plus aggressive openers","PP 52-64; innings 180-197","64.5","India powerplay 44/2","L","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","ESPNcricinfo scorecard and ESPN summary API checked 2026-07-10 AEST","ESPN summary API: mandatory PP 44/2","Powerplay over lost; the live 65+ ceiling did not overcome two early wickets.","DECLINING India top order","Current series powerplays","NONE","FALSE","India PP over","refuted","Mike Burns; Russell Warren; Graham Lloyd; Richie Richardson","ESPN summary API checked 2026-07-10 AEST","No quantified officials effect","5","None","Prior 65 PP was the positive comparable","Aggressive roles remained but execution failed","Warm weather did not guarantee PP pace","High variance complement","Wins on 0-1 wicket and clean boundary start"
"CRICKET-20260710-ENG-IND4","2026-07-10","Cricket/T20I","England vs India","India tour of England 2026, 4th T20I","ICC/ECB","2026 men's T20I playing conditions","India first innings 20 overs; mandatory powerplay 0.1-6.0; DLS/reduced-over house rules apply","India innings and powerplay totals","4","India 1st innings Over 197.5","40-49","0.42","Hot Bristol plus batting depth ceiling, forced bottom","PP 52-64; innings 180-197","197.5","India 158/7","L","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","ESPNcricinfo scorecard and ESPN summary API checked 2026-07-10 AEST","ESPN summary API mandatory powerplay note","Bottom over lost; India finished 39.5 below the threshold despite Iyer 80 not out.","DECLINING India batting vs England","Current series plus confirmed XI","NONE","FALSE","India over","refuted","Mike Burns; Russell Warren; Graham Lloyd; Richie Richardson","ESPN summary API checked 2026-07-10 AEST","No quantified officials effect","5","None","Warm/dry Bristol ceiling was the positive comparable","Only Iyer supplied sustained acceleration","Two-paced surface and England variations suppressed total","Forced bottom correctly lost","Wins with 65+ PP and 45+ death overs"
"TEMPLATE","YYYY-MM-DD","Sport","Team A vs Team B","league/tournament","official body","year/version","OT/90min/DLS/etc","Market group","1","Pick text","60-69","","e.g. hit 6/10","relevant projected band","line/fair threshold","final/phase result","W/L/P","TRUE/FALSE","FALSE","TRUE/FALSE","TRUE/FALSE","TRUE/FALSE","TRUE/FALSE","TRUE/FALSE","TRUE/FALSE","TRUE/FALSE","TRUE/FALSE","source with timestamp","phase source if needed","short calibration note","SURGING/IMPROVING/STABLE/DECLINING/COLLAPSING/VOLATILE per Sec 13.3","L5/L10/post-change subsample/season per Sec 13.6 with reason","S1-S6 or NONE per Sec 14.2","TRUE/FALSE (verbatim quote with source+timestamp in log)","over/under/side-direction hypothesised at card time","confirmed/refuted/unresolved at settlement","names or NOT YET ASSIGNED or SOURCE UNAVAILABLE","source + timestamp + access tag","environment-modifier note; never side anchor per Sec 15.3","1-5 plus cap note","conflict/none","matched sample or UNKNOWN","net drop-off/bench verdict","weather/venue/opponent-fatigue fit","stable/noisy/floor-ceiling/garbage-time note","late changes that alter ranking"
"AFL-20260612-GEEL-GC","2026-06-12","AFL","Geelong Cats vs Gold Coast SUNS","AFL Round 14","AFL","2026 AFL Laws / regular season","full game regulation","Full-game total and handicap","1","SUNS +37.5","60-69","0.66","UNKNOWN direct +37.5 count; context from season/home-away","Geelong by 10-22; total 170-184","+37.5","Geelong 105 Gold Coast 60; total 165","L","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","ESPN AFL API event 1133598 Final; Herald Sun line score","ESPN quarter splits","Top-pick loss. Away dog cushion was overprotected despite Geelong 7-0 home and Gold Coast 1-4 away; unknown territory stats should have capped confidence.","","","","","","","","","","","","","","","",""
"AFL-20260612-GEEL-GC","2026-06-12","AFL","Geelong Cats vs Gold Coast SUNS","AFL Round 14","AFL","2026 AFL Laws / regular season","full game regulation","Full-game total and handicap","2","Combined Total Over 168.5 Points","60-69","0.63","Last-five totals supported live 168.5 over but direct count not fully formalized","Geelong by 10-22; total 170-184","Over 168.5","Geelong 105 Gold Coast 60; total 165","L","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","ESPN AFL API event 1133598 Final; Herald Sun line score","ESPN quarter splits","Over missed by 3.5 because Gold Coast scored only 4 points in Q2 and 60 for the game; under corridor was stronger than ranked.","","","","","","","","","","","","","","","",""
"AFL-20260612-GEEL-GC","2026-06-12","AFL","Geelong Cats vs Gold Coast SUNS","AFL Round 14","AFL","2026 AFL Laws / regular season","full game regulation","Full-game total and handicap","3","Combined Total Under 188.5 Points","50-59","0.57","Season and recent totals made under 188.5 live","Geelong by 10-22; total 170-184","Under 188.5","Geelong 105 Gold Coast 60; total 165","W","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","ESPN AFL API event 1133598 Final; Herald Sun line score","ESPN quarter splits","Only winning listed item from original top-three; should have ranked above Over 168.5 once Suns away scoring-collapse risk was acknowledged.","","","","","","","","","","","","","","","",""
"AFL-20260612-GEEL-GC","2026-06-12","AFL","Geelong Cats vs Gold Coast SUNS","AFL Round 14","AFL","2026 AFL Laws / regular season","full game regulation","Full-game total and handicap","4","Cats -17.5","50-59","0.52","Forced-bottom despite home/away flags","Geelong by 10-22; total 170-184","Cats -17.5","Geelong 105 Gold Coast 60; total 165","W","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","ESPN AFL API event 1133598 Final; Herald Sun line score","ESPN quarter splits","Bottom-pick win. Geelong home-pressure and midfield/run edge created the favourite-cover plus underdog-low-score path that was wrongly labelled forced-bottom.","","","","","","","","","","","","","","","",""
"CRIC-20260613-CAN-USA","2026-06-13","Cricket","Canada vs United States of America","ICC Men's CWC League 2","ICC","ICC ODI playing conditions 2026 / DLS","50-over ODI DLS-sensitive","Canada innings total and first-5 total","1","Canada first-5 Over 17.5","60-69","0.62","USA fielded; batting-first PP live","first five 18-24","Over 17.5","Canada 50/1 after 5 ov (total 275/8); USA won by 5 wkts","W","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","ESPNcricinfo via r.jina.ai proxy 2026-06-14","ESPNcricinfo over-by-over","Won via live progression; clean first-innings PP read.","","","","","","","","","","","","","","","",""
"CRIC-20260613-CAN-USA","2026-06-13","Cricket","Canada vs United States of America","ICC Men's CWC League 2","ICC","ICC ODI playing conditions 2026 / DLS","50-over ODI DLS-sensitive","Canada innings total and first-5 total","2","Canada innings Over 208.5","50-59","0.57","series first-innings cluster 210-229","210-229","Over 208.5","Canada 275/8","W","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","ESPNcricinfo via r.jina.ai proxy 2026-06-14","ESPNcricinfo scorecard","Batting-first over near 208 is normal scoring not a fade; chase-cap rule is 2nd-innings only.","","","","","","","","","","","","","","","",""
"CRIC-20260613-CAN-USA","2026-06-13","Cricket","Canada vs United States of America","ICC Men's CWC League 2","ICC","ICC ODI playing conditions 2026 / DLS","50-over ODI DLS-sensitive","Canada innings total and first-5 total","3","Canada innings Under 208.5","40-49","0.43","collapse path","210-229","Under 208.5","Canada 275/8","L","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","ESPNcricinfo via r.jina.ai proxy 2026-06-14","ESPNcricinfo scorecard","Expected loss.","","","","","","","","","","","","","","","",""
"CRIC-20260613-CAN-USA","2026-06-13","Cricket","Canada vs United States of America","ICC Men's CWC League 2","ICC","ICC ODI playing conditions 2026 / DLS","50-over ODI DLS-sensitive","Canada innings total and first-5 total","4","Canada first-5 Under 17.5","30-39","0.38","quiet 0-1 start / early wickets","first five 18-24","Under 17.5","Canada 50/1 after 5 ov","L","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","ESPNcricinfo via r.jina.ai proxy 2026-06-14","ESPNcricinfo over-by-over","Forced-bottom lost as expected.","","","","","","","","","","","","","","","",""
"CRIC-20260614-NZW-WIW","2026-06-14","Cricket","New Zealand Women vs West Indies Women","ICC Women's T20 World Cup","ICC","ICC WT20I playing conditions 2026","20-over WT20I DLS-sensitive","New Zealand innings 165.5 and first-6 45.5","1","NZ innings Over 165.5","50-59","0.56","venue good-bounce preview; NZ batting depth","160-174 178+ live","Over 165.5","NZ 162/6","L","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","Cricbuzz scorecard correction 2026-06-16","Cricbuzz scorecard/powerplay table","Top-pick loss. Full-innings over missed at 162/6 despite a strong 49/1 powerplay; wickets/death control capped the innings.","","","","","","","","","","","","","","","",""
"CRIC-20260614-NZW-WIW","2026-06-14","Cricket","New Zealand Women vs West Indies Women","ICC Women's T20 World Cup","ICC","ICC WT20I playing conditions 2026","20-over WT20I DLS-sensitive","New Zealand innings 165.5 and first-6 45.5","2","NZ first-6 Over 45.5","50-59","0.54","NZ PP 43-51 projection","43-51","Over 45.5","NZ 49/1 in PP","W","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Cricbuzz scorecard correction 2026-06-16","Cricbuzz scorecard/powerplay table","Powerplay over won; prior settlement imported West Indies' chase PP by mistake.","","","","","","","","","","","","","","","",""
"CRIC-20260614-NZW-WIW","2026-06-14","Cricket","New Zealand Women vs West Indies Women","ICC Women's T20 World Cup","ICC","ICC WT20I playing conditions 2026","20-over WT20I DLS-sensitive","New Zealand innings 165.5 and first-6 45.5","3","NZ innings Under 165.5","40-49","0.44","collapse/control path","160-174","Under 165.5","NZ 162/6","W","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Cricbuzz scorecard correction 2026-06-16","Cricbuzz scorecard","Full under won; innings ceiling capped despite PP over.","","","","","","","","","","","","","","","",""
"CRIC-20260614-NZW-WIW","2026-06-14","Cricket","New Zealand Women vs West Indies Women","ICC Women's T20 World Cup","ICC","ICC WT20I playing conditions 2026","20-over WT20I DLS-sensitive","New Zealand innings 165.5 and first-6 45.5","4","NZ first-6 Under 45.5","30-49","0.42","early wickets / new-ball","43-51","Under 45.5","NZ 49/1 in PP","L","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Cricbuzz scorecard correction 2026-06-16","Cricbuzz scorecard/powerplay table","Bottom pick lost; no bottom penalty. Prior settlement imported West Indies' chase PP by mistake.","","","","","","","","","","","","","","","",""
"SOC-20260614-QAT-SUI","2026-06-14","Soccer","Qatar vs Switzerland","FIFA World Cup Group B","FIFA","FIFA WC 2026 group stage 90+stoppage only","90 minutes + stoppage","1H goals 0.5 and full-time goals 2.5","1","Total Under 2.5","50-59","0.57","Swiss low-total control cluster with draw risk","1-2 goals","Under 2.5","Qatar 1-1 Switzerland (2 goals)","W","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Guardian live/final 2026-06-14","Guardian live/final","Under and 1H goal shape validated; winner lean Switzerland lost on late Qatar equaliser.","","","","","","","","","","","","","","","",""
"SOC-20260614-QAT-SUI","2026-06-14","Soccer","Qatar vs Switzerland","FIFA World Cup Group B","FIFA","FIFA WC 2026 group stage 90+stoppage only","90 minutes + stoppage","1H goals 0.5 and full-time goals 2.5","2","1H Over 0.5","50-59","0.55","first-half goal likely","HT 0-1 or 0-0","Over 0.5","HT Qatar 0-1 Switzerland","W","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Guardian live/final 2026-06-14","Guardian live/final","Early Embolo penalty delivered the 1H goal.","","","","","","","","","","","","","","","",""
"SOC-20260614-QAT-SUI","2026-06-14","Soccer","Qatar vs Switzerland","FIFA World Cup Group B","FIFA","FIFA WC 2026 group stage 90+stoppage only","90 minutes + stoppage","1H goals 0.5 and full-time goals 2.5","3","1H Under 0.5","40-49","0.45","goalless first half","HT 0-1 or 0-0","Under 0.5","HT Qatar 0-1 Switzerland","L","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Guardian live/final 2026-06-14","Guardian live/final","Expected loss.","","","","","","","","","","","","","","","",""
"SOC-20260614-QAT-SUI","2026-06-14","Soccer","Qatar vs Switzerland","FIFA World Cup Group B","FIFA","FIFA WC 2026 group stage 90+stoppage only","90 minutes + stoppage","1H goals 0.5 and full-time goals 2.5","4","Total Over 2.5","40-49","0.43","needs 3 goals","1-2 goals","Over 2.5","Qatar 1-1 Switzerland (2 goals)","L","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Guardian live/final 2026-06-14","Guardian live/final","Forced-bottom lost as expected.","","","","","","","","","","","","","","","",""
"BKB-20260613-ZAL-JUV","2026-06-13","Basketball","Zalgiris Kaunas vs Juventus Utena","Lithuania LKL Finals G3","LKL","FIBA 10-min quarters OT for full total","OT included full; Q1/1H regulation","Spread 23.0 full 177.5 Q1 44.5 1H 89.5","1","1H Under 89.5","60-69","0.70","series phase ladder","1H 84-88","Under 89.5","1H 89 (HT 50-39)","W","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Sofascore 2026-06-14; official LKL","Sofascore quarter splits","Top pick won at 89 (1 under line).","","","","","","","","","","","","","","","",""
