legacy_row,card_id,date,sport_family,sport_raw,match,competition,market_group,rank,option,line,stated_probability,status,binary_outcome,brier_component,exact_complement_selection,probability_bucket,bucket_mismatch,settlement_source,settlement_has_url,potential_post_event_input,eligible_for_v3_evaluation,exclusion_reason,audit_note
13,CRICKET-20260710-ENG-IND4,2026-07-10,Cricket,Cricket/T20I,England vs India,"India tour of England 2026, 4th T20I",India innings and powerplay totals,2,India powerplay Under 64.5,64.5,0.55,W,1,0.20249999999999996,true,50-59,false,ESPNcricinfo scorecard and ESPN summary API checked 2026-07-10 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; exact_complement_selection
14,CRICKET-20260710-ENG-IND4,2026-07-10,Cricket,Cricket/T20I,England vs India,"India tour of England 2026, 4th T20I",India innings and powerplay totals,3,India powerplay Over 64.5,64.5,0.45,L,0,0.2025,true,40-49,false,ESPNcricinfo scorecard and ESPN summary API checked 2026-07-10 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; exact_complement_selection
15,CRICKET-20260710-ENG-IND4,2026-07-10,Cricket,Cricket/T20I,England vs India,"India tour of England 2026, 4th T20I",India innings and powerplay totals,4,India 1st innings Over 197.5,197.5,0.42,L,0,0.17639999999999997,true,40-49,false,ESPNcricinfo scorecard and ESPN summary API checked 2026-07-10 AEST,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; exact_complement_selection
16,AFL-20260612-GEEL-GC,2026-06-12,Australian football,AFL,Geelong Cats vs Gold Coast SUNS,AFL Round 14,Full-game total and handicap,1,SUNS +37.5,+37.5,0.66,L,0,0.43560000000000004,false,60-69,false,ESPN AFL API event 1133598 Final; Herald Sun line score,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; availability_error
17,AFL-20260612-GEEL-GC,2026-06-12,Australian football,AFL,Geelong Cats vs Gold Coast SUNS,AFL Round 14,Full-game total and handicap,2,Combined Total Over 168.5 Points,Over 168.5,0.63,L,0,0.39690000000000003,false,60-69,false,ESPN AFL API event 1133598 Final; Herald Sun line score,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error
18,AFL-20260612-GEEL-GC,2026-06-12,Australian football,AFL,Geelong Cats vs Gold Coast SUNS,AFL Round 14,Full-game total and handicap,3,Combined Total Under 188.5 Points,Under 188.5,0.57,W,1,0.18490000000000004,false,50-59,false,ESPN AFL API event 1133598 Final; Herald Sun line score,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error
19,AFL-20260612-GEEL-GC,2026-06-12,Australian football,AFL,Geelong Cats vs Gold Coast SUNS,AFL Round 14,Full-game total and handicap,4,Cats -17.5,Cats -17.5,0.52,W,1,0.2304,false,50-59,false,ESPN AFL API event 1133598 Final; Herald Sun line score,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; availability_error
20,CRIC-20260613-CAN-USA,2026-06-13,Cricket,Cricket,Canada vs United States of America,ICC Men's CWC League 2,Canada innings total and first-5 total,1,Canada first-5 Over 17.5,Over 17.5,0.62,W,1,0.1444,true,60-69,false,ESPNcricinfo via r.jina.ai proxy 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
21,CRIC-20260613-CAN-USA,2026-06-13,Cricket,Cricket,Canada vs United States of America,ICC Men's CWC League 2,Canada innings total and first-5 total,2,Canada innings Over 208.5,Over 208.5,0.57,W,1,0.18490000000000004,true,50-59,false,ESPNcricinfo via r.jina.ai proxy 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
22,CRIC-20260613-CAN-USA,2026-06-13,Cricket,Cricket,Canada vs United States of America,ICC Men's CWC League 2,Canada innings total and first-5 total,3,Canada innings Under 208.5,Under 208.5,0.43,L,0,0.18489999999999998,true,40-49,false,ESPNcricinfo via r.jina.ai proxy 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
23,CRIC-20260613-CAN-USA,2026-06-13,Cricket,Cricket,Canada vs United States of America,ICC Men's CWC League 2,Canada innings total and first-5 total,4,Canada first-5 Under 17.5,Under 17.5,0.38,L,0,0.1444,true,30-39,false,ESPNcricinfo via r.jina.ai proxy 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
24,CRIC-20260614-NZW-WIW,2026-06-14,Cricket,Cricket,New Zealand Women vs West Indies Women,ICC Women's T20 World Cup,New Zealand innings 165.5 and first-6 45.5,1,NZ innings Over 165.5,Over 165.5,0.56,L,0,0.31360000000000005,true,50-59,false,Cricbuzz scorecard correction 2026-06-16,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; exact_complement_selection
25,CRIC-20260614-NZW-WIW,2026-06-14,Cricket,Cricket,New Zealand Women vs West Indies Women,ICC Women's T20 World Cup,New Zealand innings 165.5 and first-6 45.5,2,NZ first-6 Over 45.5,Over 45.5,0.54,W,1,0.21159999999999995,true,50-59,false,Cricbuzz scorecard correction 2026-06-16,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
26,CRIC-20260614-NZW-WIW,2026-06-14,Cricket,Cricket,New Zealand Women vs West Indies Women,ICC Women's T20 World Cup,New Zealand innings 165.5 and first-6 45.5,3,NZ innings Under 165.5,Under 165.5,0.44,W,1,0.31360000000000005,true,40-49,false,Cricbuzz scorecard correction 2026-06-16,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
27,CRIC-20260614-NZW-WIW,2026-06-14,Cricket,Cricket,New Zealand Women vs West Indies Women,ICC Women's T20 World Cup,New Zealand innings 165.5 and first-6 45.5,4,NZ first-6 Under 45.5,Under 45.5,0.42,L,0,0.17639999999999997,true,30-49,false,Cricbuzz scorecard correction 2026-06-16,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
28,SOC-20260614-QAT-SUI,2026-06-14,Soccer,Soccer,Qatar vs Switzerland,FIFA World Cup Group B,1H goals 0.5 and full-time goals 2.5,1,Total Under 2.5,Under 2.5,0.57,W,1,0.18490000000000004,true,50-59,false,Guardian live/final 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
29,SOC-20260614-QAT-SUI,2026-06-14,Soccer,Soccer,Qatar vs Switzerland,FIFA World Cup Group B,1H goals 0.5 and full-time goals 2.5,2,1H Over 0.5,Over 0.5,0.55,W,1,0.20249999999999996,true,50-59,false,Guardian live/final 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
30,SOC-20260614-QAT-SUI,2026-06-14,Soccer,Soccer,Qatar vs Switzerland,FIFA World Cup Group B,1H goals 0.5 and full-time goals 2.5,3,1H Under 0.5,Under 0.5,0.45,L,0,0.2025,true,40-49,false,Guardian live/final 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
31,SOC-20260614-QAT-SUI,2026-06-14,Soccer,Soccer,Qatar vs Switzerland,FIFA World Cup Group B,1H goals 0.5 and full-time goals 2.5,4,Total Over 2.5,Over 2.5,0.43,L,0,0.18489999999999998,true,40-49,false,Guardian live/final 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
32,BKB-20260613-ZAL-JUV,2026-06-13,Basketball,Basketball,Zalgiris Kaunas vs Juventus Utena,Lithuania LKL Finals G3,Spread 23.0 full 177.5 Q1 44.5 1H 89.5,1,1H Under 89.5,Under 89.5,0.7,W,1,0.09000000000000002,true,60-69,true,Sofascore 2026-06-14; official LKL,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
33,BKB-20260613-ZAL-JUV,2026-06-13,Basketball,Basketball,Zalgiris Kaunas vs Juventus Utena,Lithuania LKL Finals G3,Spread 23.0 full 177.5 Q1 44.5 1H 89.5,2,Q1 Under 44.5,Under 44.5,0.65,L,0,0.42250000000000004,true,60-69,false,Sofascore 2026-06-14; official LKL,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; exact_complement_selection
34,BKB-20260613-ZAL-JUV,2026-06-13,Basketball,Basketball,Zalgiris Kaunas vs Juventus Utena,Lithuania LKL Finals G3,Spread 23.0 full 177.5 Q1 44.5 1H 89.5,3,Zalgiris -23.0,Zalgiris -23.0,0.62,L,0,0.3844,true,60-69,false,official LKL 2026-06-13,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; potential_post_event_input_text; exact_complement_selection
35,BKB-20260613-ZAL-JUV,2026-06-13,Basketball,Basketball,Zalgiris Kaunas vs Juventus Utena,Lithuania LKL Finals G3,Spread 23.0 full 177.5 Q1 44.5 1H 89.5,4,Full Under 177.5,Under 177.5,0.58,W,1,0.17640000000000003,true,50-59,false,official LKL 2026-06-13,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
36,BKB-20260613-ZAL-JUV,2026-06-13,Basketball,Basketball,Zalgiris Kaunas vs Juventus Utena,Lithuania LKL Finals G3,Spread 23.0 full 177.5 Q1 44.5 1H 89.5,5,Full Over 177.5,Over 177.5,0.42,L,0,0.17639999999999997,true,40-49,false,official LKL 2026-06-13,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
37,BKB-20260613-ZAL-JUV,2026-06-13,Basketball,Basketball,Zalgiris Kaunas vs Juventus Utena,Lithuania LKL Finals G3,Spread 23.0 full 177.5 Q1 44.5 1H 89.5,6,Juventus +23.0,Juventus +23.0,0.38,W,1,0.3844,true,30-39,false,official LKL 2026-06-13,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
38,BKB-20260613-ZAL-JUV,2026-06-13,Basketball,Basketball,Zalgiris Kaunas vs Juventus Utena,Lithuania LKL Finals G3,Spread 23.0 full 177.5 Q1 44.5 1H 89.5,7,Q1 Over 44.5,Over 44.5,0.35,W,1,0.42250000000000004,true,30-39,false,Sofascore 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; exact_complement_selection
39,BKB-20260613-ZAL-JUV,2026-06-13,Basketball,Basketball,Zalgiris Kaunas vs Juventus Utena,Lithuania LKL Finals G3,Spread 23.0 full 177.5 Q1 44.5 1H 89.5,8,1H Over 89.5,Over 89.5,0.3,L,0,0.09,true,30-39,false,Sofascore 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
40,BKB-20260614-OLY-PAO,2026-06-14,Basketball,Basketball,Olympiacos vs Panathinaikos AKTOR,Greek Basket League Finals G5,Spread 6.5 full 162.5 Q1 40.5 1H 80.5,1,1H Under 80.5,Under 80.5,0.63,L,0,0.39690000000000003,true,60-69,false,Eurohoops/Sportando 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; ruleset_error; exact_complement_selection
41,BKB-20260614-OLY-PAO,2026-06-14,Basketball,Basketball,Olympiacos vs Panathinaikos AKTOR,Greek Basket League Finals G5,Spread 6.5 full 162.5 Q1 40.5 1H 80.5,2,Q1 Under 40.5,Under 40.5,0.61,L,0,0.3721,true,60-69,false,Eurohoops/Sportando 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; exact_complement_selection
42,BKB-20260614-OLY-PAO,2026-06-14,Basketball,Basketball,Olympiacos vs Panathinaikos AKTOR,Greek Basket League Finals G5,Spread 6.5 full 162.5 Q1 40.5 1H 80.5,3,Full Under 162.5,Under 162.5,0.57,L,0,0.32489999999999997,true,50-59,false,Eurohoops/Sportando 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,rank_error; exact_complement_selection
43,BKB-20260614-OLY-PAO,2026-06-14,Basketball,Basketball,Olympiacos vs Panathinaikos AKTOR,Greek Basket League Finals G5,Spread 6.5 full 162.5 Q1 40.5 1H 80.5,4,Panathinaikos +6.5,Panathinaikos +6.5,0.55,W,1,0.20249999999999996,true,50-59,false,AS/Eurohoops 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
44,BKB-20260614-OLY-PAO,2026-06-14,Basketball,Basketball,Olympiacos vs Panathinaikos AKTOR,Greek Basket League Finals G5,Spread 6.5 full 162.5 Q1 40.5 1H 80.5,5,Olympiacos -6.5,Olympiacos -6.5,0.45,L,0,0.2025,true,40-49,false,AS/Eurohoops 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
45,BKB-20260614-OLY-PAO,2026-06-14,Basketball,Basketball,Olympiacos vs Panathinaikos AKTOR,Greek Basket League Finals G5,Spread 6.5 full 162.5 Q1 40.5 1H 80.5,6,Full Over 162.5,Over 162.5,0.43,W,1,0.3249000000000001,true,40-49,false,Eurohoops/Sportando 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
46,BKB-20260614-OLY-PAO,2026-06-14,Basketball,Basketball,Olympiacos vs Panathinaikos AKTOR,Greek Basket League Finals G5,Spread 6.5 full 162.5 Q1 40.5 1H 80.5,7,Q1 Over 40.5,Over 40.5,0.39,W,1,0.3721,true,30-39,false,Eurohoops/Sportando 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; rank_error; exact_complement_selection
47,BKB-20260614-OLY-PAO,2026-06-14,Basketball,Basketball,Olympiacos vs Panathinaikos AKTOR,Greek Basket League Finals G5,Spread 6.5 full 162.5 Q1 40.5 1H 80.5,8,1H Over 80.5,Over 80.5,0.37,W,1,0.39690000000000003,true,30-39,false,Eurohoops/Sportando 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,rank_error; ruleset_error; exact_complement_selection
48,CRIC-20260614-AUB-JBB,2026-06-14,Cricket,Cricket,Akcel United Brussels vs JB Bruges,EUT20 Belgium Super 4,Brussels innings 174.5/74.5 and first-6 53.5,1,AUB first-6 Over 53.5,Over 53.5,0.58,UNGRADED,,,true,50-59,false,ESPNcricinfo/Wikipedia final 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,source_error; exact_complement_selection
49,CRIC-20260614-AUB-JBB,2026-06-14,Cricket,Cricket,Akcel United Brussels vs JB Bruges,EUT20 Belgium Super 4,Brussels innings 174.5/74.5 and first-6 53.5,2,AUB innings Over 174.5,Over 174.5,0.55,W,1,0.20249999999999996,false,50-59,false,ESPNcricinfo/Wikipedia final 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,legacy schema only
50,CRIC-20260614-AUB-JBB,2026-06-14,Cricket,Cricket,Akcel United Brussels vs JB Bruges,EUT20 Belgium Super 4,Brussels innings 174.5/74.5 and first-6 53.5,3,AUB first-6 Under 53.5,Under 53.5,0.42,UNGRADED,,,true,40-49,false,ESPNcricinfo/Wikipedia final 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,source_error; exact_complement_selection
51,CRIC-20260614-AUB-JBB,2026-06-14,Cricket,Cricket,Akcel United Brussels vs JB Bruges,EUT20 Belgium Super 4,Brussels innings 174.5/74.5 and first-6 53.5,4,AUB innings Under 74.5,Under 74.5,0.06,L,0,0.0036,false,0-9,false,ESPNcricinfo/Wikipedia final 2026-06-14,false,true,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,potential_post_event_input_text
52,SOC-20260614-BRA-MAR,2026-06-14,Soccer,Soccer,Brazil vs Morocco,FIFA World Cup Group C,1H goals 0.5 and full-time goals 1.5,1,Total Over 1.5,Over 1.5,0.64,W,1,0.1296,true,60-69,false,Guardian live/final 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
53,SOC-20260614-BRA-MAR,2026-06-14,Soccer,Soccer,Brazil vs Morocco,FIFA World Cup Group C,1H goals 0.5 and full-time goals 1.5,2,1H Over 0.5,Over 0.5,0.57,W,1,0.18490000000000004,true,50-59,false,Guardian live/final 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
54,SOC-20260614-BRA-MAR,2026-06-14,Soccer,Soccer,Brazil vs Morocco,FIFA World Cup Group C,1H goals 0.5 and full-time goals 1.5,3,1H Under 0.5,Under 0.5,0.43,L,0,0.18489999999999998,true,40-49,false,Guardian live/final 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
55,SOC-20260614-BRA-MAR,2026-06-14,Soccer,Soccer,Brazil vs Morocco,FIFA World Cup Group C,1H goals 0.5 and full-time goals 1.5,4,Total Under 1.5,Under 1.5,0.36,L,0,0.1296,true,30-39,false,Guardian live/final 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
56,BKB-20260614-IND-CON,2026-06-14,Basketball,Basketball,Indiana Fever at Connecticut Sun,WNBA regular season Commissioner's Cup,Spread 8.5 full 170.5 Q1 44.5 1H 88.5,1,Full Over 170.5,Over 170.5,0.6,L,0,0.36,true,60-69,false,ESPN WNBA scoreboard API event 401856986 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; exact_complement_selection
57,BKB-20260614-IND-CON,2026-06-14,Basketball,Basketball,Indiana Fever at Connecticut Sun,WNBA regular season Commissioner's Cup,Spread 8.5 full 170.5 Q1 44.5 1H 88.5,2,Fever -8.5,-8.5,0.58,W,1,0.17640000000000003,true,50-59,false,ESPN WNBA scoreboard API event 401856986 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
58,BKB-20260614-IND-CON,2026-06-14,Basketball,Basketball,Indiana Fever at Connecticut Sun,WNBA regular season Commissioner's Cup,Spread 8.5 full 170.5 Q1 44.5 1H 88.5,3,1H Under 88.5,Under 88.5,0.57,W,1,0.18490000000000004,true,50-59,false,ESPN WNBA scoreboard API event 401856986 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
59,BKB-20260614-IND-CON,2026-06-14,Basketball,Basketball,Indiana Fever at Connecticut Sun,WNBA regular season Commissioner's Cup,Spread 8.5 full 170.5 Q1 44.5 1H 88.5,4,Q1 Over 44.5,Over 44.5,0.51,W,1,0.24009999999999998,true,50-59,false,ESPN WNBA scoreboard API event 401856986 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
60,BKB-20260614-IND-CON,2026-06-14,Basketball,Basketball,Indiana Fever at Connecticut Sun,WNBA regular season Commissioner's Cup,Spread 8.5 full 170.5 Q1 44.5 1H 88.5,5,Q1 Under 44.5,Under 44.5,0.49,L,0,0.24009999999999998,true,40-49,false,ESPN WNBA scoreboard API event 401856986 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
61,BKB-20260614-IND-CON,2026-06-14,Basketball,Basketball,Indiana Fever at Connecticut Sun,WNBA regular season Commissioner's Cup,Spread 8.5 full 170.5 Q1 44.5 1H 88.5,6,Sun +8.5,+8.5,0.42,L,0,0.17639999999999997,true,40-49,false,ESPN WNBA scoreboard API event 401856986 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
62,BKB-20260614-IND-CON,2026-06-14,Basketball,Basketball,Indiana Fever at Connecticut Sun,WNBA regular season Commissioner's Cup,Spread 8.5 full 170.5 Q1 44.5 1H 88.5,7,Full Under 170.5,Under 170.5,0.4,W,1,0.36,true,40-49,false,ESPN WNBA scoreboard API event 401856986 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,projection_error; exact_complement_selection
63,BKB-20260614-IND-CON,2026-06-14,Basketball,Basketball,Indiana Fever at Connecticut Sun,WNBA regular season Commissioner's Cup,Spread 8.5 full 170.5 Q1 44.5 1H 88.5,8,1H Over 88.5,Over 88.5,0.39,L,0,0.1521,true,30-39,false,ESPN WNBA scoreboard API event 401856986 2026-06-14,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
64,BKB-20260615-PAR-MON,2026-06-15,Basketball,Basketball,Paris Basketball vs Monaco,France Betclic Elite Finals G1,Paris -4.5 Monaco +4.5 full 179.5 Q1 44.5 1H 89.5,1,Full Over 179.5,Over 179.5,0.62,W,1,0.1444,true,60-69,false,L'Equipe/TNT/Sofascore 2026-06-15,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
65,BKB-20260615-PAR-MON,2026-06-15,Basketball,Basketball,Paris Basketball vs Monaco,France Betclic Elite Finals G1,Paris -4.5 Monaco +4.5 full 179.5 Q1 44.5 1H 89.5,2,1H Over 89.5,Over 89.5,0.58,W,1,0.17640000000000003,true,50-59,false,L'Equipe/TNT/Sofascore 2026-06-15,false,false,false,LEGACY_UNVERIFIED_SNAPSHOT: no immutable cutoff/model/source packet,exact_complement_selection
