record_id,parent_record_id,forecast_recorded_utc,event_start_utc,sport,competition,event,forecast_state,cutoff_utc,market,selection,line,rank,verdict,potential_winner,model_status,formal_status,result,settled_utc,settlement_source,retrospective,calibration_eligible
V6-008-3,V6-008,2026-07-18T09:26:33Z,2026-07-18T09:35:00Z,Australian rules football,AFL,"Collingwood v Carlton",PRE_GAME,2026-07-18T09:26:33Z,Handicap,Carlton,+4.5,3,PASS,Collingwood,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-20T08:09:01Z,"Official AFL completed report","Carlton lost by 21; +4.5 lost.",FALSE
V6-008-4,V6-008,2026-07-18T09:26:33Z,2026-07-18T09:35:00Z,Australian rules football,AFL,"Collingwood v Carlton",PRE_GAME,2026-07-18T09:26:33Z,Full-game total,Under,163.5,4,PASS,Collingwood,QUALITATIVE,COMPARISON_ONLY,WIN,2026-07-20T08:09:01Z,"Official AFL completed report","Combined total was 159; comparison-only Under won.",FALSE
V6-008-W,V6-008,2026-07-18T09:26:33Z,2026-07-18T09:35:00Z,Australian rules football,AFL,"Collingwood v Carlton",PRE_GAME,2026-07-18T09:26:33Z,Match winner,Collingwood,,WINNER,LEAN,Collingwood,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-20T08:09:01Z,"Official AFL completed report","Collingwood won 90-69; one qualitative result does not validate the winner module.",FALSE
V6-009-1,V6-009,2026-07-18T09:50:42Z,2026-07-18T09:30:00Z,Cricket,Lanka Premier League 2026,"Kandy Royals v Dambulla Sixers",LIVE,2026-07-18T09:50:42Z,Dambulla first six overs total,Over,53.5,1,SUPPORTED,Kandy Royals,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-19T16:00:07Z,Cricbuzz completed scorecard,"Dambulla made 68 in the powerplay. The pick won but the original current-batter identity was wrong; do not promote the live-cricket module.",FALSE
V6-009-2,V6-009,2026-07-18T09:50:42Z,2026-07-18T09:30:00Z,Cricket,Lanka Premier League 2026,"Kandy Royals v Dambulla Sixers",LIVE,2026-07-18T09:50:42Z,Dambulla 20-over innings total,Over,178.5,2,LEAN,Kandy Royals,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-19T16:00:07Z,Cricbuzz completed scorecard,"Dambulla finished 205/6. The total call won; player-specific evidence at the cutoff was incorrect.",FALSE
V6-009-3,V6-009,2026-07-18T09:50:42Z,2026-07-18T09:30:00Z,Cricket,Lanka Premier League 2026,"Kandy Royals v Dambulla Sixers",LIVE,2026-07-18T09:50:42Z,Dambulla 20-over innings total,Under,178.5,3,PASS,Kandy Royals,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-19T16:00:07Z,Cricbuzz completed scorecard,"Dambulla finished 205/6; comparison-only branch lost.",FALSE
V6-009-4,V6-009,2026-07-18T09:50:42Z,2026-07-18T09:30:00Z,Cricket,Lanka Premier League 2026,"Kandy Royals v Dambulla Sixers",LIVE,2026-07-18T09:50:42Z,Dambulla first six overs total,Under,53.5,4,AVOID,Kandy Royals,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-19T16:00:07Z,Cricbuzz completed scorecard,"Dambulla made 68 in the powerplay; comparison-only branch lost.",FALSE
V6-009-W,V6-009,2026-07-18T09:50:42Z,2026-07-18T09:30:00Z,Cricket,Lanka Premier League 2026,"Kandy Royals v Dambulla Sixers",LIVE,2026-07-18T09:50:42Z,Match winner,Kandy Royals,,WINNER,LEAN,Kandy Royals,QUALITATIVE,RESEARCH_ONLY,LOSS,2026-07-19T16:00:07Z,Cricbuzz completed scorecard,"Dambulla won by 18 runs. Resolve club aliases before future winner selections.",FALSE
V6-010-1,V6-010,2026-07-19T16:00:07Z,2026-07-19T16:15:00Z,Baseball,MLB,"Chicago White Sox at Toronto Blue Jays",PREGAME,2026-07-19T16:00:07Z,Run line,Chicago White Sox,+1.5,1,SUPPORTED,Chicago White Sox,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-20T08:09:01Z,"Official MLB game story / postgame recap","Chicago won 3-0 and covered +1.5 by 4.5 runs.",FALSE
V6-010-2,V6-010,2026-07-19T16:00:07Z,2026-07-19T16:15:00Z,Baseball,MLB,"Chicago White Sox at Toronto Blue Jays",PREGAME,2026-07-19T16:00:07Z,Full-game total,Over,8.0,2,LEAN,Chicago White Sox,QUALITATIVE,RESEARCH_ONLY,LOSS,2026-07-20T08:09:01Z,"Official MLB game story / postgame recap","Total was 3; Burke's scoreless 6 2/3 and Yesavage's quality start defeated the over thesis.",FALSE
V6-010-3,V6-010,2026-07-19T16:00:07Z,2026-07-19T16:15:00Z,Baseball,MLB,"Chicago White Sox at Toronto Blue Jays",PREGAME,2026-07-19T16:00:07Z,Run line,Toronto Blue Jays,+1.5,3,PASS,Chicago White Sox,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-20T08:09:01Z,"Official MLB game story / postgame recap","Toronto lost by 3; +1.5 lost.",FALSE
V6-010-4,V6-010,2026-07-19T16:00:07Z,2026-07-19T16:15:00Z,Baseball,MLB,"Chicago White Sox at Toronto Blue Jays",PREGAME,2026-07-19T16:00:07Z,Full-game total,Under,8.0,4,PASS,Chicago White Sox,QUALITATIVE,COMPARISON_ONLY,WIN,2026-07-20T08:09:01Z,"Official MLB game story / postgame recap","Total was 3; comparison-only Under won.",FALSE
V6-010-W,V6-010,2026-07-19T16:00:07Z,2026-07-19T16:15:00Z,Baseball,MLB,"Chicago White Sox at Toronto Blue Jays",PREGAME,2026-07-19T16:00:07Z,Match winner,Chicago White Sox,,WINNER,LEAN,Chicago White Sox,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-20T08:09:01Z,"Official MLB game story / postgame recap","Chicago won 3-0; one qualitative result does not validate the winner module.",FALSE
V6-011-1,V6-011,2026-07-21T13:57:15Z,2026-07-21T13:45:00Z,Cricket,The Hundred Women's Competition 2026,"MI London Women v SunRisers Leeds Women, Match 1",LIVE,2026-07-21T13:57:15Z,MI London first-innings 100-ball total,Under,140.5,1,LEAN,MI London Women,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-21T17:27:20Z,"CricTracker completed scorecard","MI London finished 107/8; Under 140.5 won. The early 28/0 state did not persist after eight wickets fell.",FALSE
V6-011-2,V6-011,2026-07-21T13:57:15Z,2026-07-21T13:45:00Z,Cricket,The Hundred Women's Competition 2026,"MI London Women v SunRisers Leeds Women, Match 1",LIVE,2026-07-21T13:57:15Z,MI London first-innings 100-ball total,Over,140.5,2,PASS,MI London Women,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-21T17:27:20Z,"CricTracker completed scorecard","MI London finished 107/8; comparison-only Over 140.5 lost.",FALSE
V6-011-3,V6-011,2026-07-21T13:57:15Z,2026-07-21T13:45:00Z,Cricket,The Hundred Women's Competition 2026,"MI London Women v SunRisers Leeds Women, Match 1",LIVE,2026-07-21T13:57:15Z,Match winner,MI London Women,,3,LEAN,MI London Women,QUALITATIVE,RESEARCH_ONLY,LOSS,2026-07-21T17:27:20Z,"CricTracker completed scorecard","SunRisers won by seven wickets; the modest live MI winner lean lost.",FALSE
V6-011-4,V6-011,2026-07-21T13:57:15Z,2026-07-21T13:45:00Z,Cricket,The Hundred Women's Competition 2026,"MI London Women v SunRisers Leeds Women, Match 1",LIVE,2026-07-21T13:57:15Z,Match winner,SunRisers Leeds Women,,4,PASS,MI London Women,QUALITATIVE,COMPARISON_ONLY,WIN,2026-07-21T17:27:20Z,"CricTracker completed scorecard","SunRisers won by seven wickets; comparison-only winner branch won.",FALSE
V6-012-1,V6-012,2026-07-21T17:27:20Z,2026-07-21T17:30:00Z,Cricket,The Hundred Men's Competition 2026,"MI London Men v SunRisers Leeds Men, Match 1",PREGAME_TOSS,2026-07-21T17:27:20Z,SunRisers Leeds first-innings 100-ball total,Under,154.5,1,LEAN,MI London Men,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-21T23:01:00Z,"IPL completed match page","SunRisers finished 143 all out in 99 balls; Under 154.5 won. Retain ball count with score for Hundred-total settlement.",FALSE
V6-012-2,V6-012,2026-07-21T17:27:20Z,2026-07-21T17:30:00Z,Cricket,The Hundred Men's Competition 2026,"MI London Men v SunRisers Leeds Men, Match 1",PREGAME_TOSS,2026-07-21T17:27:20Z,Match winner,MI London Men,,2,LEAN,MI London Men,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-21T23:01:00Z,"IPL completed match page","MI London reached 144/3 in 84 balls to win by seven wickets; field-first/home lean won but remains qualitative.",FALSE
V6-012-3,V6-012,2026-07-21T17:27:20Z,2026-07-21T17:30:00Z,Cricket,The Hundred Men's Competition 2026,"MI London Men v SunRisers Leeds Men, Match 1",PREGAME_TOSS,2026-07-21T17:27:20Z,SunRisers Leeds first-innings 100-ball total,Over,154.5,3,PASS,MI London Men,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-21T23:01:00Z,"IPL completed match page","SunRisers finished 143 all out in 99 balls; comparison-only Over 154.5 lost.",FALSE
V6-012-4,V6-012,2026-07-21T17:27:20Z,2026-07-21T17:30:00Z,Cricket,The Hundred Men's Competition 2026,"MI London Men v SunRisers Leeds Men, Match 1",PREGAME_TOSS,2026-07-21T17:27:20Z,Match winner,SunRisers Leeds Men,,4,PASS,MI London Men,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-21T23:01:00Z,"IPL completed match page","MI London won by seven wickets; comparison-only SunRisers winner branch lost.",FALSE
V6-013-1,V6-013,2026-07-21T23:01:00Z,2026-07-21T23:07:00Z,Baseball,MLB Regular Season 2026,"Tampa Bay Rays at Toronto Blue Jays",PREGAME,2026-07-21T23:01:00Z,Run line,Tampa Bay Rays +1.5,1.5,1,LEAN,Tampa Bay Rays,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-22T17:28:30Z,"Official MLB final feed / game story","Tampa Bay won 12-2 (10-run margin); the Rays +1.5 lean won. This is a qualitative result only, with no bookmaker or price provenance.",FALSE
V6-013-2,V6-013,2026-07-21T23:01:00Z,2026-07-21T23:07:00Z,Baseball,MLB Regular Season 2026,"Tampa Bay Rays at Toronto Blue Jays",PREGAME,2026-07-21T23:01:00Z,Combined total,Under,7.5,2,PASS,Tampa Bay Rays,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-22T17:28:30Z,"Official MLB final feed / game story","Fourteen total runs defeated the comparison-only Under; Gausman exited after 3 1/3 innings and Tampa Bay finished with 21 hits.",FALSE
V6-013-3,V6-013,2026-07-21T23:01:00Z,2026-07-21T23:07:00Z,Baseball,MLB Regular Season 2026,"Tampa Bay Rays at Toronto Blue Jays",PREGAME,2026-07-21T23:01:00Z,Combined total,Over,7.5,3,PASS,Tampa Bay Rays,QUALITATIVE,COMPARISON_ONLY,WIN,2026-07-22T17:28:30Z,"Official MLB final feed / game story","Fourteen total runs cleared 7.5, but the Over was comparison-only and is not a model success.",FALSE
V6-013-4,V6-013,2026-07-21T23:01:00Z,2026-07-21T23:07:00Z,Baseball,MLB Regular Season 2026,"Tampa Bay Rays at Toronto Blue Jays",PREGAME,2026-07-21T23:01:00Z,Run line,Toronto Blue Jays +1.5,1.5,4,AVOID,Tampa Bay Rays,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-22T17:28:30Z,"Official MLB final feed / game story","Toronto lost by 10; the avoided +1.5 branch lost. It remains a non-complementary comparison, not independent evidence.",FALSE
V6-013-W,V6-013,2026-07-21T23:01:00Z,2026-07-21T23:07:00Z,Baseball,MLB Regular Season 2026,"Tampa Bay Rays at Toronto Blue Jays",PREGAME,2026-07-21T23:01:00Z,Match winner,Tampa Bay Rays,,WINNER,LEAN,Tampa Bay Rays,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-22T17:28:30Z,"Official MLB final feed / game story","Tampa Bay won 12-2; the correlated Rays winner lean won, without price or calibrated-model validation.",FALSE
V6-014-1,V6-014,2026-07-22T17:41:20Z,2026-07-22T17:35:00Z,Baseball,MLB Regular Season 2026,"Baltimore Orioles at Boston Red Sox, Game 1",LIVE,2026-07-22T17:41:20Z,Match winner,Boston Red Sox,,1,LEAN,Boston Red Sox,QUALITATIVE,RESEARCH_ONLY,WIN,2026-07-23T17:32:23Z,"Official MLB game video/recap, game 824735","Boston won 6-3. The side lean was right; the result does not validate an unpriced or uncalibrated model.",FALSE
V6-014-2,V6-014,2026-07-22T17:41:20Z,2026-07-22T17:35:00Z,Baseball,MLB Regular Season 2026,"Baltimore Orioles at Boston Red Sox, Game 1",LIVE,2026-07-22T17:41:20Z,Full-game total,Over,9.5,2,PASS,Boston Red Sox,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-23T17:32:23Z,"Official MLB game video/recap, game 824735","Final total 9. This was a comparison-only pass, not an active pick.",FALSE
V6-014-3,V6-014,2026-07-22T17:41:20Z,2026-07-22T17:35:00Z,Baseball,MLB Regular Season 2026,"Baltimore Orioles at Boston Red Sox, Game 1",LIVE,2026-07-22T17:41:20Z,Run line,Baltimore Orioles +1.5,1.5,3,PASS,Boston Red Sox,QUALITATIVE,COMPARISON_ONLY,LOSS,2026-07-23T17:32:23Z,"Official MLB game video/recap, game 824735","Boston won by three. This was a comparison-only pass, not an active pick.",FALSE
V6-014-4,V6-014,2026-07-22T17:41:20Z,2026-07-22T17:35:00Z,Baseball,MLB Regular Season 2026,"Baltimore Orioles at Boston Red Sox, Game 1",LIVE,2026-07-22T17:41:20Z,Full-game total,Under,9.5,4,AVOID,Boston Red Sox,QUALITATIVE,COMPARISON_ONLY,WIN,2026-07-23T17:32:23Z,"Official MLB game video/recap, game 824735","Final total 9. An avoided branch winning does not create a recommendation.",FALSE
