file,line,date,sport,match,market_group,ranked_picks,result,card_outcome,parsed_wins,parsed_losses,cell_count
PREDICTION_RESULTS_LOG_v2.md,247,2026-05-14,WNBA,Seattle Storm @ Toronto Tempo,First-quarter and first-half totals,"1. 1H Under 92.5, 2. 1Q Under 47.5, 3. 1H Over 80.5, 4. 1Q Over 39.5","Halftime/phase result checked: Seattle 45, Toronto 44 at halftime. Quarter scores available: Seattle 22-23; Toronto 27-17. Q1 total 49; 1H total 89. Full final unavailable at update time, but all listed phase markets settled.","Listed items 3-1, adjusted 3-2 with bottom-pick penalty: 1H Under 92.5 won; 1Q Under 47.5 lost; 1H Over 80.5 won; 1Q Over 39.5 won.",3,1,8
PREDICTION_RESULTS_LOG_v2.md,248,2026-05-14,WNBA,Las Vegas Aces @ Connecticut Sun,First-quarter and first-half totals,"1. 1H Over 77.5, 2. 1Q Over 38.5, 3. 1H Under 89.5, 4. 1Q Under 46.5","Las Vegas Aces 101, Connecticut Sun 94. Quarter scores: Las Vegas 28-26-25-22; Connecticut 20-24-27-23. Q1 total 48; 1H total 98.",2-2: 1H Over 77.5 won; 1Q Over 38.5 won; 1H Under 89.5 lost; 1Q Under 46.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,249,2026-05-14,WNBA,Chicago Sky @ Golden State Valkyries,First-quarter and first-half totals,"1. 1H Over 75.5, 2. 1H Under 87.5, 3. 1Q Under 45.5, 4. 1Q Over 37.5","Chicago 69, Golden State 63. Quarter scores: Chicago 10-14-25-20; Golden State 19-9-16-19. Q1 total 29; 1H total 52.",2-2: 1H Over 75.5 lost; 1H Under 87.5 won; 1Q Under 45.5 won; 1Q Over 37.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,250,2026-05-14,Basketball,Southland Sharks vs Auckland Tuatara,First-quarter and first-half totals,"1. 1H Under 91.5, 2. 1Q Under 45.5, 3. 1Q Over 45.5, 4. 1H Over 91.5","Southland Sharks 111, Auckland Tuatara 94. Quarter scores: Southland 22-23-31-35; Auckland 22-21-25-26. Q1 total 44; 1H total 88.",2-2: 1H Under 91.5 won; 1Q Under 45.5 won; 1Q Over 45.5 lost; 1H Over 91.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,251,2026-05-14,NPB Baseball,Chunichi Dragons @ Yokohama DeNA BayStars,Run cushion and total,"1. BayStars +1.5, 2. Under 8.5, 3. Over 6.0, 4. Dragons +1.5","DeNA 0, Chunichi 0 after 12 innings. Hits: DeNA 5, Chunichi 3. Irie 6 IP, 0 R, 9 K; Muller 7 IP, 0 R.","Listed items 3-1, adjusted 3-2 with bottom-pick penalty: BayStars +1.5 won; Under 8.5 won; Over 6.0 lost; Dragons +1.5 won.",3,1,8
PREDICTION_RESULTS_LOG_v2.md,252,2026-05-14,Cricket,Punjab Kings vs Mumbai Indians,PBKS 1st innings and powerplay totals,"1. Innings Under 223.5, 2. Innings Over 203.5, 3. PP Under 69.5, 4. PP Over 59.5","PBKS 200/8; mandatory powerplay 55/1. MI 205/4 in 19.5 overs, won by 6 wickets.",2-2: Innings Under 223.5 won; Innings Over 203.5 lost; PP Under 69.5 won; PP Over 59.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,253,2026-05-15,MLB,Kansas City Royals @ Chicago White Sox,"Moneyline, run cushion, and total","1. White Sox +1.5, 2. Under 9.0, 3. Over 7.0, 4. Royals ML","White Sox 6, Royals 2. Total 8.",3-1: White Sox +1.5 won; Under 9.0 won; Over 7.0 won; Royals ML lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,254,2026-05-16,AFL,Adelaide Crows vs North Melbourne,Total and line,"1. Under 187.5, 2. North Melbourne +23.5, 3. Adelaide -1.5, 4. Over 167.5","Adelaide 134, North Melbourne 63. Total 197.","Listed items 2-2, adjusted 2-3 with bottom-pick penalty: Under 187.5 lost; North Melbourne +23.5 lost; Adelaide -1.5 won; Over 167.5 won.",2,2,8
PREDICTION_RESULTS_LOG_v2.md,255,2026-05-17,Cricket,Punjab Kings vs Royal Challengers Bengaluru,RCB 1st innings and powerplay totals,"1. PP Under 64.5, 2. Innings Under 214.5, 3. Innings Over 194.5, 4. PP Over 54.5",RCB 222/4; powerplay 61/1. Punjab 199/8. RCB won by 23 runs.,"Listed items 3-1, adjusted 3-2 with bottom-pick penalty: PP Under 64.5 won; Innings Under 214.5 lost; Innings Over 194.5 won; PP Over 54.5 won.",3,1,8
PREDICTION_RESULTS_LOG_v2.md,256,2026-05-17,Cricket,Delhi Capitals vs Rajasthan Royals,RR 1st innings and powerplay totals,"1. PP Under 70.5, 2. Innings Under 217.5, 3. Innings Over 197.5, 4. PP Over 60.5",RR 193/8 in 20 overs; mandatory powerplay 75/1. Delhi won toss and chose to field at Arun Jaitley Stadium.,"Listed items 2-2, adjusted 2-3 with bottom-pick penalty: PP Under 70.5 lost; Innings Under 217.5 won; Innings Over 197.5 lost; PP Over 60.5 won.",2,2,8
PREDICTION_RESULTS_LOG_v2.md,257,2026-05-18,Basketball,Astoria Bydgoszcz vs LKS Coolpack Lodz,First-quarter and first-half totals,"1. 1H Over 81.5, 2. 1Q Over 41.5, 3. 1H Under 91.5, 4. 1Q Under 41.5","Astoria 84, LKS 64. Quarter scores: 12-22, 24-14, 23-13, 25-15. Q1 total 34; 1H total 72.","Listed items 2-2, adjusted 2-3 with bottom-pick penalty: 1H Over 81.5 lost; 1Q Over 41.5 lost; 1H Under 91.5 won; 1Q Under 41.5 won.",2,2,8
PREDICTION_RESULTS_LOG_v2.md,258,2026-05-18,Cricket,Chennai Super Kings vs Sunrisers Hyderabad,CSK 1st innings and powerplay totals,"1. Innings Under 206.5, 2. PP Under 61.5, 3. Innings Over 186.5, 4. PP Over 51.5","CSK 180/7 in 20 overs; mandatory powerplay 57. CSK won toss and chose to bat first at MA Chidambaram Stadium. SRH 181/5 in 19.0 overs, won by 5 wickets.","Listed items 3-1, adjusted 3-2 with bottom-pick penalty: Innings Under 206.5 won; PP Under 61.5 won; Innings Over 186.5 lost; PP Over 51.5 won.",3,1,8
PREDICTION_RESULTS_LOG_v2.md,259,2026-05-19,Cricket,Chennai Super Kings vs Sunrisers Hyderabad,Live match winner,SRH to win narrowly,CSK 180/7; SRH 181/5 in 19.0 overs. Sunrisers Hyderabad won by 5 wickets.,1-0: SRH to win won.,,,8
PREDICTION_RESULTS_LOG_v2.md,260,2026-05-19,Basketball,Elitzur Netanya vs Hapoel Holon,First-quarter and first-half totals,"1. 1H Under 93.5, 2. 1Q Under 47.5, 3. 1H Over 93.5, 4. 1Q Over 47.5","Hapoel Holon 108, Elitzur Netanya 95. Quarter scores: Netanya 12-29-31-23; Holon 23-36-17-32. Q1 total 35; 1H total 100.",2-2: 1H Under 93.5 lost; 1Q Under 47.5 won; 1H Over 93.5 won; 1Q Over 47.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,261,2026-05-19,Basketball,Elitzur Shomron vs Ironi Nahariya,First-quarter and first-half totals,"1. 1H Under 80.5, 2. 1Q Under 40.5, 3. 1H Over 80.5, 4. 1Q Over 40.5","Ironi Nahariya 82, Elitzur Shomron 77. Quarter scores: Shomron 14-13-25-25; Nahariya 21-21-18-22. Q1 total 35; 1H total 69.",2-2: 1H Under 80.5 won; 1Q Under 40.5 won; 1H Over 80.5 lost; 1Q Over 40.5 lost. No bottom-pick penalty.,,,8
PREDICTION_RESULTS_LOG_v2.md,262,2026-05-19,WNBA,Washington Mystics @ Dallas Wings,First-quarter and first-half totals,"1. 1H Over 83.5, 2. 1Q Over 41.5, 3. 1Q Under 41.5, 4. 1H Under 83.5","Dallas Wings 92, Washington Mystics 69. Quarter scores: Washington 9-20-17-23; Dallas 19-19-28-26. Q1 total 28; 1H total 67.","Listed items 2-2, adjusted 2-3 with bottom-pick penalty: 1H Over 83.5 lost; 1Q Over 41.5 lost; 1Q Under 41.5 won; 1H Under 83.5 won.",2,2,8
PREDICTION_RESULTS_LOG_v2.md,263,2026-05-19,NBA,San Antonio Spurs @ Oklahoma City Thunder,First-quarter and first-half totals,"1. 1H Under 116.5, 2. 1Q Under 60.5, 3. 1H Over 108.5, 4. 1Q Over 52.5","San Antonio Spurs 122, Oklahoma City Thunder 115 in 2OT. Q1 was 27-27; San Antonio led 51-44 at halftime.","Listed items 3-1, adjusted 3-2 with bottom-pick penalty: 1H Under 116.5 won; 1Q Under 60.5 won; 1H Over 108.5 lost; 1Q Over 52.5 won.",3,1,8
PREDICTION_RESULTS_LOG_v2.md,264,2026-05-19,MLB,Chicago White Sox @ Seattle Mariners,"Run cushion, moneyline, and total","1. Under 8.5, 2. White Sox +1.5, 3. Mariners ML, 4. Over 6.5","Mariners 6, White Sox 1. Line score: White Sox 0-0-0-0-0-0-1-0-0; Mariners 1-0-1-0-0-1-0-3-x. Total 7.","Listed items 3-1, adjusted 3-2 with bottom-pick penalty: Under 8.5 won; White Sox +1.5 lost; Mariners ML won; Over 6.5 won.",3,1,8
PREDICTION_RESULTS_LOG_v2.md,265,2026-05-19,WNBA,Connecticut Sun @ Portland Fire,First-quarter and first-half totals,"1. 1H Under 95.5, 2. 1H Over 83.5, 3. 1Q Under 48.5, 4. 1Q Over 40.5","Portland 83, Connecticut 82. Quarter scores: Connecticut 24-18-22-18; Portland 25-13-26-19. Q1 total 49; 1H total 80.","Listed items 2-2, adjusted 2-3 with bottom-pick penalty: 1H Under 95.5 won; 1H Over 83.5 lost; 1Q Under 48.5 lost; 1Q Over 40.5 won.",2,2,8
PREDICTION_RESULTS_LOG_v2.md,266,2026-05-19,KBO Baseball,KT Wiz @ Samsung Lions,"Run cushion, moneyline, and total","1. Under 11.5, 2. KT Wiz +1.5, 3. Samsung Lions ML, 4. Over 8.5","MyKBO final: Samsung Lions 10, KT Wiz 2 at Pohang. Total 12.","Listed items 1-3, adjusted 1-4 with bottom-pick penalty: Under 11.5 lost; KT +1.5 lost; Samsung ML won; Over 8.5 won and triggers bottom-pick penalty.",1,3,8
PREDICTION_RESULTS_LOG_v2.md,267,2026-05-19,Soccer,NorthEast United FC vs Mohammedan SC,First-half goals,"1. 1H Under 2.5 goals, 2. 1H Over 0.5 goals","NorthEast United led 2-0 at halftime and won 2-0. First-half goals: Jairo Samperio 18', Dinesh Singh 46'.","Listed items 2-0, adjusted 2-1 with bottom-pick penalty: 1H Under 2.5 goals won; 1H Over 0.5 goals won.",2,0,8
PREDICTION_RESULTS_LOG_v2.md,268,2026-05-19,Soccer,Shenzhen Xinpengcheng vs Dalian Yingbo,First-half goals,"1. 1H Under 1.5 goals, 2. 1H Over 0.5 goals","Final: Shenzhen Xinpengcheng 1-1 Dalian Yingbo. Verified halftime score 1-1, so two first-half goals; corner count 8-7.","Listed items 1-1, adjusted 1-2 with bottom-pick penalty: 1H Under 1.5 lost; 1H Over 0.5 won.",1,1,8
