source_id,publisher,direct_url_or_template,sport_family,competition_scope,fact_classes,authority_class,official_status,access_method,authentication,machine_readable,documented_api,observed_at_utc,access_state,last_access_test_at,next_retest_due,latency_note,coverage_limit,fallback_ids,conflict_rule,notes
NBA_RULES,NBA,https://official.nba.com/,Basketball,NBA,rules|officials,A0,OFFICIAL,HTML,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Season releases,NBA only,,EXACT_COMPETITION_RULES_WIN,Use exact rulebook and assignment page
WNBA_SCHEDULE,WNBA,https://www.wnba.com/schedule,Basketball,WNBA,fixture|event_identity|result,A0,OFFICIAL,DYNAMIC_UI,NONE,NO,NO,2026-07-16T00:00:00Z,DYNAMIC,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Live gamebook updates,WNBA only,,OFFICIAL_EVENT_SHEET_WINS,Separate from NBA rules and model scope
NHL_SCHEDULE,NHL,https://www.nhl.com/schedule,Ice hockey,NHL,fixture|event_identity|result,A0,OFFICIAL,DYNAMIC_UI,NONE,NO,NO,2026-07-16T00:00:00Z,DYNAMIC,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Live Game Centre,NHL only,,OFFICIAL_EVENT_SHEET_WINS,Regulation and winner settlement must remain separate
IIHF_DOCUMENTS,IIHF,https://www.iihf.com/en/events/2026/wm/tournamentinfo/officialdocuments,Ice hockey,IIHF,rules|event_documents,A0,OFFICIAL,HTML|PDF,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Event-specific,2026 World Championship only,,EXACT_COMPETITION_RULES_WIN,Do not generalize to all IIHF events
NFL_SCHEDULE,NFL,https://www.nfl.com/schedules,American football,NFL,fixture|event_identity|result,A0,OFFICIAL,DYNAMIC_UI,NONE,NO,NO,2026-07-16T00:00:00Z,DYNAMIC,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Live gamebook updates,NFL only,,OFFICIAL_EVENT_SHEET_WINS,Final gamebook controls
NFL_RULEBOOK,NFL,https://operations.nfl.com/the-rules/nfl-rulebook/,American football,NFL,rules,A0,OFFICIAL,HTML|PDF,NONE,NO,NO,2026-07-16T00:00:00Z,STALE,2026-07-16T00:00:00Z,2026-07-23T00:00:00Z,Generic page exposed 2025 rulebook at audit,NFL only,,EXACT_COMPETITION_RULES_WIN,2026 proposals are not a final rulebook
ATP_RULEBOOK,ATP,https://www.atptour.com/en/corporate/rulebook,Tennis,ATP,rules,A0,OFFICIAL,HTML|PDF,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Annual release,ATP events,,EXACT_COMPETITION_RULES_WIN,Tournament rules and retirement settlement still require exact contract
WTA_RULES,WTA,https://www.wtatennis.com/wta-rules,Tennis,WTA,rules,A0,OFFICIAL,HTML|PDF,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Annual release,WTA events,,EXACT_COMPETITION_RULES_WIN,Exact tournament contract required
FIVB_COMPETITIONS,FIVB,https://www.fivb.com/volleyball/fivb-competitions/,Volleyball,FIVB,fixture|competition_identity|result,A0,OFFICIAL,HTML,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Event dependent,FIVB competitions,,OFFICIAL_EVENT_SHEET_WINS,Exact Volleyball World event page may be required
FIVB_RULES_2025_2028,FIVB,https://www.fivb.com/wp-content/uploads/2025/01/FIVB-Volleyball_Rules2025_2028-EN-v05.pdf,Volleyball,FIVB,rules,A0,OFFICIAL,PDF,NONE,NO,NO,2026-07-16T00:00:00Z,PDF_OK,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Edition effective 2025-2028,Competition variations override,,EXACT_COMPETITION_RULES_WIN,Indoor volleyball only unless event says otherwise
PGA_TOUR_SCHEDULE,PGA Tour,https://www.pgatour.com/schedule/2026,Golf,PGA_TOUR,fixture|field|event_identity,A0,OFFICIAL,DYNAMIC_UI,NONE,NO,NO,2026-07-16T00:00:00Z,DYNAMIC,2026-07-16T00:00:00Z,2026-08-16T00:00:00Z,Tournament dependent,PGA Tour 2026,,OFFICIAL_EVENT_SHEET_WINS,Major organisers control their own championships
PGA_TOUR_LEADERBOARD,PGA Tour,https://www.pgatour.com/leaderboard,Golf,PGA_TOUR,tee_times|withdrawals|live_state|result,A0,OFFICIAL,DYNAMIC_UI,NONE,NO,NO,2026-07-16T00:00:00Z,DYNAMIC,2026-07-16T00:00:00Z,2026-07-30T00:00:00Z,Live event updates,PGA Tour,,OFFICIAL_EVENT_SHEET_WINS,Retain tournament-specific page
FIA_REGULATIONS,FIA,https://www.fia.com/regulations/sport/homologation-list,Motorsport,FIA,rules|regulations,A0,OFFICIAL,HTML|PDF,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-07-30T00:00:00Z,Issue-numbered documents,Exact championship and issue only,,EXACT_COMPETITION_RULES_WIN,Store document issue and publication date
FIA_F1_ENTRY_2026,FIA,https://www.fia.com/events/fia-formula-one-world-championship/season-2026/2026-fia-formula-one-world-championship-entry,Motorsport,FIA_F1,entry|participant_identity,A0,OFFICIAL,HTML,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-07-30T00:00:00Z,Updated by FIA,2026 F1 only,,OFFICIAL_EVENT_SHEET_WINS,Grid penalties and event classifications require event documents
ABC_UNIFIED_RULES,Association of Boxing Commissions and Combative Sports,https://www.abcboxing.com/unified-rules/,Combat,MMA|BOXING,rules|judging,A0,OFFICIAL,HTML|PDF,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-07-30T00:00:00Z,Commission adoption varies,North American unified rules,COMMISSION_EVENT_RULES,EXACT_COMPETITION_RULES_WIN,Event commission and jurisdiction control actual rules
UFC_SCORECARDS,UFC,https://www.ufc.com/scorecards,Combat,UFC_MMA,official_scorecard|result,A1,OFFICIAL_PROMOTION,HTML,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-07-30T00:00:00Z,Published after events,UFC only,COMMISSION_EVENT_RESULT,COMMISSION_RULING_WINS,Commission correction overrides promotion publication
BOM_WEATHER,Australian Bureau of Meteorology,https://www.bom.gov.au/weather-and-climate,Other,AUSTRALIA,weather,A0,OFFICIAL,HTML,NONE,NO,NO,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-07-23T00:00:00Z,Forecast issue and valid time required,Australia,,GOVERNMENT_ISSUE_TIME_WINS,Venue controls roof state
NWS_WEATHER,US National Weather Service,https://www.weather.gov/,Other,UNITED_STATES,weather,A0,OFFICIAL,HTML|API,NONE,YES,YES,2026-07-16T00:00:00Z,OPENED,2026-07-16T00:00:00Z,2026-07-23T00:00:00Z,Point forecast issue and valid time required,United States,,GOVERNMENT_ISSUE_TIME_WINS,Store coordinates and units
