requirement_id,category,status,test_file,test_name,notes
"GATE-CONTRACT-001","HARD_GATE","PARTIAL","tests/issue_gates.test.mjs | tests/packet.test.mjs","exact ACTIVE contract and unresolved PASS paths","Absent and counterfeit contract paths are covered; all missing identity fields are not."
"GATE-MODE-001","HARD_GATE","PARTIAL","tests/packet.test.mjs | tests/issue_gates.test.mjs","mode resolution and ISSUE happy path","Invalid isolated ISSUE mode remains explicitly TODO."
"GATE-CUTOFF-001","HARD_GATE","PARTIAL","tests/issue_gates.test.mjs","pregame freeze and temporal source boundaries","Pregame and observation boundaries are covered; sport-specific LIVE exposure is not."
"GATE-SOURCE-001","HARD_GATE","PARTIAL","tests/issue_gates.test.mjs | tests/controls.test.mjs","source timing hashes and ACTIVE source-map evidence","Known/fetched/as-of negatives are covered; conflict and stale-policy matrix is incomplete."
"GATE-UNIVERSE-001","HARD_GATE","PARTIAL","tests/issue_gates.test.mjs","frozen candidate universe reconciliation","Happy path count/hash mismatch and primary-cardinality negatives are covered; rejected-candidate completeness is not."
"GATE-MODEL-001","HARD_GATE","PARTIAL","tests/issue_gates.test.mjs | tests/controls.test.mjs | tests/coverage.test.mjs","exact ACTIVE model and coverage joins","Status and cross-registry joins are covered; every artifact mismatch is not."
"GATE-TEST-001","HARD_GATE","PARTIAL","tests/issue_gates.test.mjs | tests/development.test.mjs","untouched test shadow and overlap controls","Later shadow missing overlap and spent reuse are covered; full prereg effect rules are not."
"GATE-PROB-001","HARD_GATE","PARTIAL","tests/issue_gates.test.mjs | tests/scoring.test.mjs","probability vectors calibration and frozen hash","Valid and sum-invalid vectors are covered; reproducibility from production artifacts is not."
"GATE-COHERENCE-001","HARD_GATE","PARTIAL","tests/issue_gates.test.mjs | tests/scoring.test.mjs","linked-market relation validation","Controlled constraints state references and contradictions are tested; a full multi-market ISSUE fixture is not."
"GATE-UNCERTAINTY-001","HARD_GATE","PARTIAL","tests/issue_gates.test.mjs","typed material uncertainty controls","Valid typed set and material NOT_ESTIMABLE are covered; decision-flip sensitivity is not."
"GATE-PRICE-001","HARD_GATE","PARTIAL","tests/issue_gates.test.mjs | tests/scoring.test.mjs","research nulls and payoff-aware EV","RESEARCH_ONLY leakage and EV primitives are covered; complete PRICE_ENABLED packet remains TODO."
"GATE-EXECUTION-001","HARD_GATE","PARTIAL","tests/issue_gates.test.mjs","execution-claim prohibition","Stake without execution is covered; receipt closing snapshot and CLV cases are not."
"GATE-SETTLEMENT-001","HARD_GATE","PARTIAL","tests/settlement_evaluation.test.mjs | tests/journal.test.mjs","append-only exact-branch settlement and correction lineage","Core settlement lifecycle and exact prediction identity are covered; field closure VOID and phase semantics remain TODO."
"GATE-LEGACY-001","HARD_GATE","NOT_IMPLEMENTED","tests/issue_gates.test.mjs","legacy eligibility exclusion","A non-schema-dependent legacy negative remains TODO."
"NEG-ID-001","NEGATIVE_IDENTITY","COVERED","tests/journal.test.mjs","duplicate snapshot_id and prediction_id inserts fail","Sequential semantic duplicates and a real two-process append race are tested."
"NEG-ID-002","NEGATIVE_IDENTITY","PARTIAL","tests/packet.test.mjs | tests/journal.test.mjs","frozen mutation and successor semantics","Hash mutation fails and a successor shape is built; successful append of a new prediction lineage is not covered."
"NEG-ID-003","NEGATIVE_IDENTITY","COVERED","tests/settlement_evaluation.test.mjs","ambiguous forecast-series settlement reference fails","A series-only reference fails because exact prediction_id and snapshot_id are mandatory."
"NEG-ID-004","NEGATIVE_IDENTITY","COVERED","tests/packet.test.mjs | tests/journal.test.mjs","child-field hash mutation fails","Packet hash and journal chain tampering are tested."
"NEG-CMC-001","NEGATIVE_CONTRACT_MODE_CUTOFF","PARTIAL","tests/issue_gates.test.mjs | tests/packet.test.mjs","missing contract identity returns evidenced PASS","Absent exact contract and unresolved PASS are covered; each missing identity field is not."
"NEG-CMC-002","NEGATIVE_CONTRACT_MODE_CUTOFF","NOT_IMPLEMENTED","tests/issue_gates.test.mjs","LIVE analysis-mode rejection and orthogonal field representation","Isolated invalid-mode fixture remains TODO."
"NEG-CMC-003","NEGATIVE_CONTRACT_MODE_CUTOFF","NOT_IMPLEMENTED","tests/settlement_evaluation.test.mjs","projected and confirmed strata remain separate","No evaluation-stratum query exists."
"NEG-CMC-004","NEGATIVE_CONTRACT_MODE_CUTOFF","COVERED","tests/issue_gates.test.mjs","known_at after cutoff is rejected","One-millisecond post-cutoff boundary is tested."
"NEG-CMC-005","NEGATIVE_CONTRACT_MODE_CUTOFF","COVERED","tests/issue_gates.test.mjs","production fetch after freeze is rejected","One-millisecond post-freeze fetch is tested with a recomputed source-packet hash."
"NEG-CMC-006","NEGATIVE_CONTRACT_MODE_CUTOFF","COVERED","tests/issue_gates.test.mjs","historical later fetch needs as-of evidence","Missing versioned as-of evidence is tested."
"NEG-CMC-007","NEGATIVE_CONTRACT_MODE_CUTOFF","NOT_IMPLEMENTED","tests/issue_gates.test.mjs","LIVE snapshot needs sport clock exposure and state","No LIVE sport-state fixture exists."
"NEG-SEL-001","NEGATIVE_SELECTION","PARTIAL","tests/issue_gates.test.mjs","universe count and hash mismatch fails","Count mismatch is tested and necessarily invalidates the frozen universe hash."
"NEG-SEL-002","NEGATIVE_SELECTION","NOT_IMPLEMENTED","tests/issue_gates.test.mjs","missing inspected or rejected candidate fails","No complete inspected-candidate manifest fixture exists."
"NEG-SEL-003","NEGATIVE_SELECTION","NOT_IMPLEMENTED","tests/issue_gates.test.mjs","late universe or policy freeze fails","No outcome-aware late-freeze fixture exists."
"NEG-SEL-004","NEGATIVE_SELECTION","COVERED","tests/issue_gates.test.mjs","zero or multiple primary questions fail","Both cardinalities fail with otherwise-reconciled candidate counts and universe hashes."
"NEG-SEL-005","NEGATIVE_SELECTION","NOT_IMPLEMENTED","tests/development.test.mjs","post-view selection-threshold change spends test","No threshold-version lineage fixture exists."
"NEG-MTS-001","NEGATIVE_MODEL_TEST_SHADOW","PARTIAL","tests/controls.test.mjs","ACTIVE model with non-ACTIVE coverage fails","Cross-status mismatch is tested; both DEVELOPMENT and UNSUPPORTED variants are not."
"NEG-MTS-002","NEGATIVE_MODEL_TEST_SHADOW","PARTIAL","tests/issue_gates.test.mjs | tests/controls.test.mjs","ACTIVE coverage with non-ACTIVE model fails","SHADOW is tested; SUSPENDED variant is not."
"NEG-MTS-003","NEGATIVE_MODEL_TEST_SHADOW","COVERED","tests/coverage.test.mjs","ACTIVE wildcard or multi-token scopes fail","ALL in all four scope fields and multi-token scope are tested."
"NEG-MTS-004","NEGATIVE_MODEL_TEST_SHADOW","PARTIAL","tests/controls.test.mjs | tests/issue_gates.test.mjs","artifact or scope mismatch fails","Source-map and status joins are tested; every artifact hash mismatch is not."
"NEG-MTS-005","NEGATIVE_MODEL_TEST_SHADOW","PARTIAL","tests/development.test.mjs","partition event overlap fails","A real chronological overlap is tested; every pairwise event-manifest overlap is not."
"NEG-MTS-006","NEGATIVE_MODEL_TEST_SHADOW","NOT_IMPLEMENTED","tests/development.test.mjs","test viewed before preregistration fails","Timestamp-order mutation is not tested."
"NEG-MTS-007","NEGATIVE_MODEL_TEST_SHADOW","PARTIAL","tests/development.test.mjs","SPENT manifest reuse fails","Reuse is tested; changed feature model and rule variants are not separated."
"NEG-MTS-008","NEGATIVE_MODEL_TEST_SHADOW","COVERED","tests/issue_gates.test.mjs","historical pass without later shadow fails","The otherwise-valid ISSUE loses only its later prospective shadow."
"NEG-MTS-009","NEGATIVE_MODEL_TEST_SHADOW","NOT_IMPLEMENTED","tests/development.test.mjs","point improvement missing preregistered rule fails","No effect-threshold replay fixture exists."
"NEG-PUC-001","NEGATIVE_PROBABILITY_UNCERTAINTY","COVERED","tests/issue_gates.test.mjs","probability sum outside tolerance fails","Raw and decision vectors are mutated with a recomputed distribution hash."
"NEG-PUC-002","NEGATIVE_PROBABILITY_UNCERTAINTY","NOT_IMPLEMENTED","tests/scoring.test.mjs","PUSH probability is not duplicated across opponents","No paired-opponent PUSH fixture exists."
"NEG-PUC-003","NEGATIVE_PROBABILITY_UNCERTAINTY","PARTIAL","tests/scoring.test.mjs","non-structural exact zero or one fails","Primitive branch validation is covered; full ISSUE packet mutation is not."
"NEG-PUC-004","NEGATIVE_PROBABILITY_UNCERTAINTY","NOT_IMPLEMENTED","tests/issue_gates.test.mjs","raw equals decision calibration claim needs evidence","Only the justified happy path exists."
"NEG-PUC-005","NEGATIVE_PROBABILITY_UNCERTAINTY","COVERED","tests/issue_gates.test.mjs","material NOT_ESTIMABLE fails ISSUE","A complete component is mutated only to NOT_ESTIMABLE."
"NEG-PUC-006","NEGATIVE_PROBABILITY_UNCERTAINTY","NOT_IMPLEMENTED","tests/issue_gates.test.mjs","decision-flipping sensitivity fails","No sensitivity policy replay fixture exists."
"NEG-PUC-007","NEGATIVE_PROBABILITY_UNCERTAINTY","NOT_IMPLEMENTED","tests/development.test.mjs","correlated simulation cannot use independent MCSE","No simulation-dependence fixture exists."
"NEG-PEX-001","NEGATIVE_PRICE_EXECUTION","PARTIAL","tests/issue_gates.test.mjs","RESEARCH_ONLY quantitative price or stake claims fail","EV and stake are tested; edge interval and all realized fields are not."
"NEG-PEX-002","NEGATIVE_PRICE_EXECUTION","NOT_IMPLEMENTED","tests/issue_gates.test.mjs","incomplete or stale PRICE_ENABLED quote set fails","Complete PRICE_ENABLED construction remains TODO."
"NEG-PEX-003","NEGATIVE_PRICE_EXECUTION","COVERED","tests/scoring.test.mjs","push-capable EV rejects binary shortcut","The exact 0.00 payoff EV and -0.10 invalid shortcut are distinguished."
"NEG-PEX-004","NEGATIVE_PRICE_EXECUTION","NOT_IMPLEMENTED","tests/issue_gates.test.mjs","positive point EV cannot override conservative policy","No interval-policy fixture exists."
"NEG-PEX-005","NEGATIVE_PRICE_EXECUTION","PARTIAL","tests/issue_gates.test.mjs","realized claims require execution","Stake without execution is tested; yield PnL and CLV variants are not."
"NEG-SET-001","NEGATIVE_SETTLEMENT_EVALUATION","COVERED","tests/settlement_evaluation.test.mjs","settlement cannot mutate frozen prediction evidence","Closed settlement payloads reject probability model and rationale fields."
"NEG-SET-002","NEGATIVE_SETTLEMENT_EVALUATION","NOT_IMPLEMENTED","tests/settlement_evaluation.test.mjs","phase is not inferred from full-event result","Explicit TODO records the gap."
"NEG-SET-003","NEGATIVE_SETTLEMENT_EVALUATION","COVERED","tests/settlement_evaluation.test.mjs","correction needs exact prior lineage and reason","Wrong prior version missing reason and a valid reasoned correction are tested."
"NEG-SET-004","NEGATIVE_SETTLEMENT_EVALUATION","NOT_IMPLEMENTED","tests/settlement_evaluation.test.mjs","same-event markets are not independent events","No aggregate metric-query fixture exists."
"NEG-SET-005","NEGATIVE_SETTLEMENT_EVALUATION","NOT_IMPLEMENTED","tests/settlement_evaluation.test.mjs","retrospective text cannot rehabilitate legacy rows","No legacy eligibility-query fixture exists."
"NEG-SET-006","NEGATIVE_SETTLEMENT_EVALUATION","NOT_IMPLEMENTED","tests/settlement_evaluation.test.mjs","metric query reports exact inclusion-status counts","No aggregate denominator query exists."
"SCORE-BINARY-WIN","SCORING_EVALUATION","COVERED","tests/scoring.test.mjs","canonical scoring fixtures reproduce exactly","Brier and log loss match within 1e-12."
"SCORE-BINARY-LOSS","SCORING_EVALUATION","COVERED","tests/scoring.test.mjs","canonical scoring fixtures reproduce exactly","Loss-observed Brier and log loss match within 1e-12."
"SCORE-THREE-PUSH","SCORING_EVALUATION","COVERED","tests/scoring.test.mjs","canonical scoring fixtures reproduce exactly","Three-state PUSH Brier and log loss match within 1e-12."
"SCORE-ZERO-OBSERVED","SCORING_EVALUATION","PARTIAL","tests/scoring.test.mjs","zero observed probability returns positive infinity","Positive infinity is tested; immutable raw-zero persistence is not."
"EV-NO-PUSH","SCORING_EVALUATION","COVERED","tests/scoring.test.mjs","push-aware EV and conditional market comparison do not use p*d-1","The canonical 0.10 no-push payoff fixture is reproduced."
"EV-WITH-PUSH","SCORING_EVALUATION","COVERED","tests/scoring.test.mjs","push-aware EV and conditional market comparison do not use p*d-1","The canonical 0.00 payoff EV differs from the -0.10 shortcut."
"EVAL-IDENTICAL-SET","SCORING_EVALUATION","PARTIAL","tests/settlement_evaluation.test.mjs","evaluation derives model and baseline scores from one frozen distribution","One-record key parity is inherent; multi-record set equality is not tested."
"EVAL-EVENT-WEIGHT","SCORING_EVALUATION","NOT_IMPLEMENTED","tests/settlement_evaluation.test.mjs","within-event averaging precedes aggregation","No aggregate evaluator exists."
"EVAL-CLUSTER","SCORING_EVALUATION","PARTIAL","tests/development.test.mjs","paired event-cluster bootstrap is reproducible","Event clustering is tested; required time and participant blocks are not."
"EVAL-SELECTION","SCORING_EVALUATION","NOT_IMPLEMENTED","tests/settlement_evaluation.test.mjs","selected universe and primary question are separate reports","No aggregate selection report exists."
"DRIFT-CONFIG-001","OPERATIONS","PARTIAL","tests/development.test.mjs","development plan monitoring configuration validates","Monitoring fields exist; numeric warning and suspension threshold semantics are incomplete."
"DRIFT-SUSPEND-001","OPERATIONS","NOT_IMPLEMENTED","tests/controls.test.mjs","seeded drift suspends model and blocks ISSUE","No state-transition harness exists."
"INCIDENT-LEAKAGE-001","OPERATIONS","NOT_IMPLEMENTED","tests/issue_gates.test.mjs","post-cutoff feature blocks output and opens incident","Source timing blocks output but incident creation is not implemented."
"ROLLBACK-001","OPERATIONS","NOT_IMPLEMENTED","tests/development.test.mjs","restart needs new version evidence shadow and approval","No restart state machine exists."
"GO-LIVE-001","GO_LIVE","PARTIAL","scripts/validate_v3_system.ps1 | tests/release.test.mjs","static validator passes exact release","Current release validation exists; activation is deliberately suspended."
"GO-LIVE-002","GO_LIVE","NOT_IMPLEMENTED","schema/acceptance_traceability_v1.csv","every applicable gate and negative passes","This matrix intentionally exposes incomplete negative coverage."
"GO-LIVE-003","GO_LIVE","PARTIAL","tests/development.test.mjs | tests/issue_gates.test.mjs","untouched test becomes SPENT after preregistration","Synthetic happy path has ordered evidence; full activation replay is absent."
"GO-LIVE-004","GO_LIVE","PARTIAL","tests/issue_gates.test.mjs","later prospective shadow passes","Happy path and missing-shadow negative are covered."
"GO-LIVE-005","GO_LIVE","PARTIAL","tests/coverage.test.mjs | tests/controls.test.mjs","model and coverage approvals and expiry populated","Required fields and expiry are tested; atomic production activation is not."
"GO-LIVE-006","GO_LIVE","NOT_IMPLEMENTED","tests/release.test.mjs","authority manifest and coverage change reviewed atomically","Release metadata validates but no transactional update mechanism exists."
